,﻿Status,Opp Type,Opp ID,Program Name,Acronym,Organization Level 1,Organization Level 2,Solicitation Number,Value (USD-$K),Summary,Contract Value,NAICS,Classification Code (SAM),Solicitation Date,Solicitation Date (Actual/Estimate),Projected Award Date,Response Date
110,Forecast Pre-RFP,Tracked Opportunities,225870,ELECTRONIC CASE ADJUDICATION AND PROCESSING ENVIRONMENT INDEPENDENT PROGRAM MANAGEMENT SUPPORT STAFF AUGMENTATION (ECAPE),ECAPE,HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES,,"25,000","The US Department of Health and Human Services, Program Support Center, Office of Medicare Hearings and Appeals (OMHA) may have a continuing requirement for Electronic Case Adjudication and Processing Environment (ECAPE) Independent Program Management Support/Staff Augmentation.",25000,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,05/2026,(Deltek Estimate),09/2026,
111,Forecast Pre-RFP,Tracked Opportunities,222288,ENVIRONMENTAL DATA SERVICES SUBSCRIPTION AND ENHANCEMENT (EDS),EDS,HOMELAND SECURITY,US COAST GUARD,,"4,000","The Department of Homeland Security, US Coast Guard, Control and Communications Engineering Center (C3CEN) may have a continuing requirement for EDS subscription and enhancement.",4000,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,11/2024,(Deltek Estimate),05/2025,
112,Forecast Pre-RFP,Tracked Opportunities,209145,AFLCMC UNIQUE IT SUPPORT (AFLCMC),AFLCMC,AIR FORCE,AIR FORCE MATERIEL COMMAND,,"75,000","The Department of Air Force, Air Force Material Command (AFMC), Air Force Life Cycle Management Center (AFLCMC), Chief Information Technology Office (CITO) may have a continuing requirement for unique communications and information technology support.","0, 0, 0",541513 - Computer Facilities Management Services,,03/2024,(Deltek Estimate),02/2025,
113,Pre-RFP,Tracked Opportunities,231164,SAF CND VISIBLE ACCESSIBLE UNDERSTANDABLE LINKED TRUSTED PLATFORM AND OPERATIONS SUPPORT SERVICES (SAF CND VAULT),SAF CND VAULT,AIR FORCE,AIR FORCE DISTRICT OF WASHINGTON,FA701423CNDVP,"62,469","The Department of the Air Force, Air Force District of Washington, Chief Data and Artificial Intelligence Office has a requirement for leading, carrying out, reviewing, and ensuring the visibility, accessibility, understanding, sharing, and trustworthiness of data across air, space, and cyberspace domains.",62469,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,01/2024,(Deltek Estimate),03/2024,
114,Pre-RFP,Tracked Opportunities,221023,MARINER CREDENTIALING PROGRAM (MCP),MCP,HOMELAND SECURITY,US COAST GUARD,70Z0G22RFIMCP,TBD,"The Department of Homeland Security, US Coast Guard has a requirement for the implementation and sustainment of a cloud hosted solution to address the immediate need for it's Mariner Credentialing Program.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2024,(Deltek Estimate),09/2024,
115,Pre-RFP,Tracked Opportunities,225920,CG MIX VESSEL INFORMATION SYSTEM (VIS),VIS,HOMELAND SECURITY,US COAST GUARD,52800RFI23CGMIXVIS,"1,330","The Department of Homeland Security, US Coast Guard, Command, Control, Communications, Computer and Information Technology Directorate has a requirement for a vessel information dataset.","1330, 355","518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,01/2024,(Deltek Estimate),04/2024,
116,Forecast Pre-RFP,Tracked Opportunities,219747,COMPUTERIZED LABELING ASSESSMENT TOOL SERVICES (CLAT),CLAT,HEALTH AND HUMAN SERVICES,FOOD AND DRUG ADMINISTRATION,,"5,000","The US Department of Health and Human Services, Food and Drug Administration may have a continuing requirement for Computerized Labeling Assessment Tool (CLAT) Services.",5000,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,02/2026,(Deltek Estimate),07/2026,
117,Forecast Pre-RFP,Tracked Opportunities,231112,ENTERPRISE CONTENT MANAGEMENT SYSTEM SUPPORT (ECMS),ECMS,ENVIRONMENTAL PROTECTION AGENCY,,,"11,664","The Environmental Protection Agency, Office of Mission Support may have a continuing requirement for Enterprise Content Management System (ECMS) Support.",11664,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2028,(Deltek Estimate),10/2028,
118,Forecast Pre-RFP,Tracked Opportunities,230582,ENTERPRISE INFORMATION TECHNOLOGY SHARED SERVICES (EITSS),EITSS,TRANSPORTATION,CHIEF INFORMATION OFFICER,,"700,000","The Department of Transportation, Office of the Chief Information Officer Office of Information Technology Shared Services may have a continuing requirement for Enterprise Information Technology (IT) Shared Services (EITSS).","50000, 650000",541513 - Computer Facilities Management Services,,10/2025,(Deltek Estimate),12/2026,
119,Forecast Pre-RFP,Tracked Opportunities,219337,ACCESS TO HOSPITAL DRUG UTILIZATION DATA,,HEALTH AND HUMAN SERVICES,FOOD AND DRUG ADMINISTRATION,,"9,000","The US Department of Health and Human Services, Food and Drug Administration may have a continuing requirement for Access to Hospital Drug Utilization Data.",9000,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,11/2024,(Deltek Estimate),03/2025,
120,Forecast Pre-RFP,Tracked Opportunities,211308,OPERATION AND MAINTENANCE OF ENERGY MANAGEMENT AND CONTROL SYSTEMS (EMCS),EMCS,AIR FORCE,AIR COMBAT COMMAND,,"3,515","The Department of the Air Force, Air Combat Command, 12th Air Force, 355th Fighter Wing, 355th Mission Support Group, 355th Civil Engineer Squadron may have a continuing requirement for Energy Management Control System operation, maintenance, and installation services.",3515,541513 - Computer Facilities Management Services,,04/2025,(Deltek Estimate),05/2025,
121,Forecast Pre-RFP,Tracked Opportunities,211922,HHS OIS CYBERSECURITY AND INFORMATION TECHNOLOGY SERVICES,,HEALTH AND HUMAN SERVICES,PROGRAM SUPPORT CENTER,,"150,057","The US Department of Health and Human Services, Program Support Center, Office of the Chief Information Officer (OCIO) may have a continuing requirement for Cybersecurity and Information Technology Services.","10652, 23812, 115592",541513 - Computer Facilities Management Services,,02/2025,(Deltek Estimate),06/2025,
122,Pre-RFP,Tracked Opportunities,232209,CLASSIFIED TRANSCRIPTION SERVICE,,STATE,,103Transcription,TBD,"The U.S. Department of State (DOS), Foreign Service Institute, the Office of the Directo, has a requirement for Classified Transcription Service.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,01/2024,(Deltek Estimate),02/2024,
123,Pre-RFP,Tracked Opportunities,229236,DATA ACT AND FINANCIAL SYSTEMS SUPPORT FOR OFFICE OF BUSINESS OVERSIGHT (OBO),OBO,VETERANS AFFAIRS,OFFICE OF MANAGEMENT,36C10X23Q0115,TBD,"The Department of Veterans Affairs, Office of Business Oversight, has a monthly reporting requirement to develop, transform and report Treasury broker data as mandated by the Digital Accountability and Transparency (DATA) Act for the Department of Veterans Affairs.",,541513 - Computer Facilities Management Services,,03/2024,(Deltek Estimate),07/2024,
124,Forecast Pre-RFP,Tracked Opportunities,217662,CROWD SOURCED DATA PROGRAM (CSDP),CSDP,COMMERCE,NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION,,"9,521","The Department of Commerce, First Responder Network Authority's (FirstNet) may have a continuing requirement to leverage existing wireless device-based crowd sourced solutions and data to analyze and report network usage, performance, and coverage in order to understand service status, performance, and assess the end-to-end quality of experience of public safety users.",9521,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,01/2025,(Deltek Estimate),08/2025,
125,Forecast Pre-RFP,Tracked Opportunities,220523,WEB BASED WASTE MANAGEMENT,,VETERANS AFFAIRS,VETERANS HEALTH ADMINISTRATION,,674,"The Department of Veterans Affairs, Veterans Health Administration (VHA) Environmental Programs Service (EPS) Program Manager for Waste Management and Sustainability may have a continuing requirement for Web-based Waste Management.",674,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,11/2023,(Deltek Estimate),12/2023,
126,Forecast Pre-RFP,Tracked Opportunities,223015,VETERANS INTAKE CONVERSION AND COMMUNICATION SERVICES (VICCS),VICCS,VETERANS AFFAIRS,VETERANS BENEFITS ADMINISTRATION,,"5,400,000","The Department of Veterans Affairs, Veterans Benefits Administration (VBA) has a requirement for Veterans Intake, Conversion and Communication Services (VICCS) Multiple Award Indefinite Delivery - Indefinite Quantity (IDIQ) Contract.","900000, 900000, 900000, 900000, 900000, 900000","518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,07/2024,(Deltek Estimate),09/2024,
127,Forecast Pre-RFP,Tracked Opportunities,235683,G6 IT STUDENT SUPPORT SERVICES,,ARMY,ARMY TRAINING AND DOCTRINE COMMAND,,"8,032","The Department of the Army, Army Training and Doctrine Command (TRADOC), Maneuver Center of Excellence's (MCoE) may have a continuing requirement for Student Information Technology (IT) Support Services at Fort Benning.",8032,541513 - Computer Facilities Management Services,,03/2027,(Deltek Estimate),06/2027,
128,Forecast Pre-RFP,Tracked Opportunities,197616,FOH INTERACTIVE WELLNESS AND HEALTH PROMOTION WEB PORTAL (WHP PORTAL),WHP PORTAL,HEALTH AND HUMAN SERVICES,PROGRAM SUPPORT CENTER,,"4,310","The US Department of Health and Human Services, Program Support Center may have a continuing requirement for FOH Interactive Wellness and Health Promotion Web Portal (WHP Portal).",4310,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,02/2024,(Deltek Estimate),06/2024,
129,Forecast Pre-RFP,Tracked Opportunities,229812,GENERAL FUNDS ENTERPRISE BUSINESS SYSTEM SUPPORT SERVICES TO THE US ARMY TEST AND EVALUATION COMMAND (GFEBS),GFEBS,ARMY,ARMY TEST AND EVALUATION COMMAND,,"1,654","The Department of the Army, Army Test and Evaluation Command may have a continuing requirement for Commercial Non-Personal Services contract to provide General Funds Enterprise Business System (GFEBS) support services to the U.S. Army Test and Evaluation Command located on Aberdeen Proving Ground, MD.",1654,541513 - Computer Facilities Management Services,,08/2024,(Deltek Estimate),11/2025,
130,Forecast Pre-RFP,Tracked Opportunities,229610,CANCER REGISTRY SERVICES FOR THE PHILADELPHIA VAMC,,VETERANS AFFAIRS,VETERANS HEALTH ADMINISTRATION,,"1,656","The Department of Veterans Affairs, Network Contracting Office may have a continuing requirement for Cancer Registry Services for the Philadelphia VAMC.",1656,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,04/2024,(Deltek Estimate),06/2024,
131,Forecast Pre-RFP,Tracked Opportunities,229618,HEALTH CARE CLEARING HOUSE REVENUE TRANSACTIONS PROCESSING SUPPORT (HCCH),HCCH,VETERANS AFFAIRS,VETERANS HEALTH ADMINISTRATION,,"20,000","The Department of Veterans Affairs, Veterans Health Administration (VHA) Office of Community Care (OCC), Revenue Operations (RO), eBusiness Solutions Office may have a continuing requirement for Health Care Clearing House (HCCH) Revenue Transactions Processing.",20000,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,01/2026,(Deltek Estimate),04/2026,
132,Forecast Pre-RFP,Tracked Opportunities,229371,CLOUD SERVICE PROVIDER CREDITS (CSP),CSP,AIR FORCE,AIR COMBAT COMMAND,,"7,000","The Department of Air Force, Air Combat Command, 16th Air Force, 16th Weapons Squadron may have a continuing requirement for cloud service provider credits.",7000,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,02/2026,(Deltek Estimate),07/2026,
133,Forecast Pre-RFP,Tracked Opportunities,235050,REO CASE MANAGEMENT SUPPORT SERVICES,,HOUSING AND URBAN DEVELOPMENT,,,"52,202",The US Housing and Urban Development may have a continuing requirement for REO Case Management Support Services.,52201,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,03/2027,(Deltek Estimate),12/2027,
134,Forecast Pre-RFP,Tracked Opportunities,235027,AUDIO VISUAL SUPPORT DESIGN INSTALLATION AND EQUIPMENT SYSTEM SERVICES,,HEALTH AND HUMAN SERVICES,FOOD AND DRUG ADMINISTRATION,,"99,918","The US Department of Health and Human Services, Food and Drug Administration may have a continuing requirement for Audio Visual Support Services.",99918,541513 - Computer Facilities Management Services,,04/2026,(Deltek Estimate),04/2028,
135,Forecast Pre-RFP,Tracked Opportunities,202173,PRECISIONFDA COLLABORATIVE OMICS ENVIRONMENT IDIQ,,HEALTH AND HUMAN SERVICES,FOOD AND DRUG ADMINISTRATION,,"20,000","The US Department of Health and Human Services, Food and Drug Administrations may have a continuing requirement for a cloud-based genomics platform and full lifecycle IT services to maintain a collaborative web-based portal software.",20000,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,05/2024,(Deltek Estimate),09/2024,
136,Forecast Pre-RFP,Tracked Opportunities,223921,MEDICAL EXPENDITURE PANEL SURVEY MEDICAL PROVIDER COMPONENT (MEPS-MPC),MEPS-MPC,HEALTH AND HUMAN SERVICES,AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,,"51,539","The Department of Health and Human Services, Agency for Healthcare Research and Quality may have a continuing requirement for the Medical Expenditure Panel Survey - Medical Provider Component (MEPS-MPC).",51540,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,01/2026,(Deltek Estimate),06/2026,
137,Forecast Pre-RFP,Tracked Opportunities,223353,CDC ASSIST TECHNOLOGY BASED NOTIFICATION SYSTEM TO INCREASE ILLNESS MONITORING AND MEDICAL COUNTERMEASURE COMPLIANCE DURING PUBLIC HEALTH EMERGENCIES,,HEALTH AND HUMAN SERVICES,CENTERS FOR DISEASE CONTROL AND PREVENTION,,"3,486","The US Department of Health and Human Services, Centers for Disease Control and Prevention may have a continuing requirement for contractor to support of CDC Assist® through operations and maintenance activities for the platform and supported campaigns, as well as build on the existing infrastructure and allow for required expansion, enhancements, pilots, and future emergency response support as needs arise.",3486,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,11/2024,(Deltek Estimate),04/2026,
138,Forecast Pre-RFP,Tracked Opportunities,216669,HCCH HIPAA INSURANCE IDENTIFICATION AND VERIFICATION,,VETERANS AFFAIRS,VETERANS HEALTH ADMINISTRATION,,"25,000","The Department of Veterans Affairs, Veterans Health Administration (VHA), Office of Community Care (OCC), Revenue Operations (RO), eBusiness Solutions Office may have a continuing requirement for HCCH HIPAA Insurance Identification and Verification.",25000,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,06/2025,(Deltek Estimate),12/2025,
139,Forecast Pre-RFP,Tracked Opportunities,206158,FACILITY SUPPORT SERVICES AT THE ORLANDO VA MEDICAL CENTER AT LAKE NONA,,VETERANS AFFAIRS,VETERANS HEALTH ADMINISTRATION,,937,"The Department of Veterans Affairs, Network Contracting office 8 (NCO 8) may have a continuing requirement for Facility Support Services at the Orlando VA Medical Center at Lake Nona.",937,541513 - Computer Facilities Management Services,,11/2024,(Deltek Estimate),03/2025,
140,Awarded,Tracked Opportunities,212354,IT OPERATIONS ENGINEERING AND SERVICES (ITOES),ITOES,HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES,,TBD,"A vendor is performing the US Department of Health and Human Services, Office of Inspector General (OIG) continuing requirement for Service Desk, End User Services, Operations Engineering, Infrastructure Architecture, and Technical Program Management for delivering the information technology services.",0,541513 - Computer Facilities Management Services,,06/2022,(Deltek Estimate),09/24/2022,
141,Awarded,Tracked Opportunities,179581,DATA MANAGEMENT OFFICE ENTERPRISE DATA WAREHOUSE AND BUSINESS INTELLIGENCE SUPPORT,,DEFENSE,DEFENSE COMMISSARY AGENCY,HQC00721R0002,"4,274","Guident Technologies is fulfilling the Department of Defense (DoD), Defense Commissary Agency's (DeCA) requirement for Data Management Office, Enterprise Data Warehouse, and Business Intelligence Support (DMO/EDW/BI).",4274,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,11/2021,(Deltek Estimate),07/01/2022,
142,Awarded,Tracked Opportunities,224310,CONSOLIDATED EMERGENCY RESPONSE SYSTEM (CERS),CERS,MARINE CORPS,MARINE CORPS SYSTEMS COMMAND,M6785423C4902,"34,732","Hexagon US Federal, Inc., is currently fulfilling the United States Marine Corps, Marine Corps Systems Command's (MCSC) requirement for Consolidated Emergency Response System (CERS).",34732,541513 - Computer Facilities Management Services,,11/2022,(Deltek Estimate),04/05/2022,
143,Awarded,Tracked Opportunities,221684,MCIWEST G6 REGIONAL TELECOMMUNICATIONS MODERNIZATION,,ARMY,ARMY CORPS OF ENGINEERS,2568951052a,TBD,"Coho Construction Management, LLC is fulfilling the Department of the Army, Army Corps of Engineers' requirement for the modernization of the Base Area Network aboard MCB Camp Pendleton.",49988,541513 - Computer Facilities Management Services,,09/2022,(Deltek Estimate),09/27/2022,
144,Awarded,Tracked Opportunities,205210,FORT HOOD INFORMATION TECHNOLOGY SERVICES (ITS),ITS,ARMY,ARMY CYBER COMMAND,,"59,232","The Department of the Army, Army Cyber Command, Network Enterprise Technology Command (NETCOM), 7th Signal Command (Theater), has a requirement for Information Technology Services (ITS) at Fort Hood, Texas.",59232,541513 - Computer Facilities Management Services,,03/2022,(Deltek Estimate),09/08/2022,
145,Expired/Archived,Tracked Opportunities,199180,NATIONAL SCIENCE FOUNDATION IT HELP CENTRAL,,NATIONAL SCIENCE FOUNDATION,,NSF2118,"70,000",The National Science Foundation no longer has a requirement for IT Help Central services.,51144,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,10/2021,(Deltek Estimate),,11/01/2021
146,Awarded,Tracked Opportunities,219468,BOYERS DATA CENTER HOSTING SERVICES,,OFFICE OF PERSONNEL MANAGEMENT,,,"5,821","Iron Mountain Information Management, LLC is currently fulfilling the Office of Personnel Management's requirement for Boyers Data Center Hosting Services.",5821,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,08/2022,(Deltek Estimate),09/23/2022,
147,Awarded,Tracked Opportunities,185752,USACE NEXT GENERATION WEB BASED HURRICANE EVACUATION DECISION SUPPORT PLATFORM,,ARMY,ARMY CORPS OF ENGINEERS,w912dr22c0067,"3,226","The Department of the Army, US Army Corps of Engineers (USACE), Baltimore District, may have a continuing requirement for the Next Generation Web-Based Hurricane Evacuation Decision Support Platform.",3226,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,,(Deltek Estimate),10/06/2022,
148,Awarded,Tracked Opportunities,189074,CONSOLIDATED EMERGENCY RESPONSE SYSTEM (CERS),CERS,MARINE CORPS,MARINE CORPS SYSTEMS COMMAND,M6785420R4905,"24,686","Hexagon US Federal, Inc. on a sole source basis is performing services for the United States Marine Corps, Marine Corps Systems Command (MCSC) Portfolio Manager, Supporting Establishment Systems (PfM SES) has a requirement for Consolidated Emergency Response System.",24686,541513 - Computer Facilities Management Services,,07/2020,(Deltek Estimate),08/26/2020,
149,Awarded,Tracked Opportunities,185107,DATA CENTER ALTERNATE PROCESSING SITE,,COMMERCE,PATENT AND TRADEMARK OFFICE,SSDOC201017,"71,587","Iron Mountain is currently fulfilling the U.S. Department of Commerce, Patent and Trademark Office's requirement for an alternate processing site in order to maintain the security and accessibility of data services for the organization.",71587,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,07/2020,(Deltek Estimate),08/21/2020,
150,Awarded,Tracked Opportunities,169909,ADOBE CONNECT WEB CONFERENCING SERVICE,,HEALTH AND HUMAN SERVICES,INDIAN HEALTH SERVICE,IHS1353296,"3,180","Emergent, LLC is fulfilling the US Department of Health and Human Services, Indian Health Service requirement for contractor to provide Adobe Connect Web Conferencing Service.",3180,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,07/2018,(Deltek Estimate),08/09/2018,
151,Awarded,Tracked Opportunities,155536,COMPREHENSIVE APPLICATION SUPPORT SERVICES (CASS),CASS,TREASURY,FINANCIAL CRIMES ENFORCEMENT NETWORK,,"40,000","A vendor is currently fulfilling the Department of Treasury, Financial Crimes Enforcement Network's (FCEN) requirement for application engineering support, management and support of existing internal and external service desks (i.e., BSA E-filing, Portal, FinCEN Service Desk, and Query/Advanced Analytics), desktop and peripheral support services for FinCEN staff.",40000,541513 - Computer Facilities Management Services,,07/2021,(Deltek Estimate),09/2021,
152,Awarded,Tracked Opportunities,176605,IT OPERATIONS ENGINEERING AND SERVICES,,HEALTH AND HUMAN SERVICES,OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES,SS19OIG234480,"30,511","Unisys Corporation is fulfilling the US Department of Health and Human Services, Office of Inspector General (OIG) requirement for Service Desk, End User Services, Operations Engineering, Infrastructure Architecture, and Technical Program Management for delivering the information technology services.",32761,541513 - Computer Facilities Management Services,,08/2019,(Deltek Estimate),09/23/2019,
153,Awarded,Tracked Opportunities,177778,LITIGATION SUPPORT SERVICES AND ELECTRONIC DISCOVERY,,SECURITIES AND EXCHANGE COMMISSION,,,"102,000","A vendor is fulfilling the Securities and Exchange Commission (SEC), Office of Acquisitions continuing requirement for Electronic Document Discovery Services.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,08/2021,(Deltek Estimate),10/2021,
154,Awarded,Tracked Opportunities,172105,SPECIAL SECURITY ADMINISTRATIVE SUPPORT,,AIR FORCE,AIR COMBAT COMMAND,,"4,110","The Department of the Air Force, Air Combat Command, 16th Air Force, 688th Cyberspace Wing has a continuing requirement for security administrative support services.",4110,541513 - Computer Facilities Management Services,,07/2021,(Deltek Estimate),09/2021,
155,Awarded,Tracked Opportunities,151268,ASSET DISPOSITION AND MANAGEMENT SYSTEM (ADAMS),ADAMS,HOUSING AND URBAN DEVELOPMENT,,APPHU2020117,"8,428","Yardi Systems is fulfilling the U.S. Department of Housing and Urban Development requirement for Program Management/Support to provide a web-enabled commercial-off-the-shelf (COTS) application which can serve as the primary process for HUD staff and its business partners to send, receive, distribute, analyze, maintain, and manage information relative to HUD’s pre-conveyance, property management, and disposition strategies and activities.",12704,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,08/2020,(Deltek Estimate),09/30/2020,
156,Awarded,Tracked Opportunities,169014,ENTERPRISE PLATFORM AS A SERVICE AND ENTERPRISE INFRASTRUCTURE AS A SERVICE (IASS)(PAAS),IASS)(PAAS,STATE,BUREAU OF ADMINISTRATION (A),19AQMM18N0062,TBD,The US Department of State has a requirement to provide cloud services through an Authorized Public Sector Reseller in support of Infrastructure as a Service (IaaS) and Platform as a Service (PaaS).,,541513 - Computer Facilities Management Services,,10/2019,(Deltek Estimate),09/2020,
157,Expired/Archived,Tracked Opportunities,181985,MEDICAL PRODUCT DATA NORMALIZATION,,VETERANS AFFAIRS,VETERANS HEALTH ADMINISTRATION,36C77619Q0165,TBD,"The Department of Veteran's Affairs, Veterans Health Administration, has a requirement for Medical Product Data Normalization for the Veterans Health Administration (VHA).",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,,(Deltek Estimate),,
158,Deleted/Canceled,Tracked Opportunities,59500,TRUCK CONGESTION INFORMATION ASSESSMENT,,TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,SSN,TBD,"The Department of Transportation (DOT), Federal Highway Administration (FHWA) no longer has a requirement for research services for the Truck Congestion Information Assessment.",,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,07/2011,(Deltek Estimate),01/2012,
159,Awarded,Tracked Opportunities,151696,INTEGRITY CREDENTIAL AND ACCESS MANAGEMENT UNIFIED SERVICES INFORMATION TECHNOLOGY SYSTEMS ENGINEERING AND OTHER PROFESSIONAL SERVICES (ICAM),ICAM,HOMELAND SECURITY,US CITIZENSHIP AND IMMIGRATION SERVICES,F2017036291,"33,998","Sevatec, Inc. is fulfilling the Department of Homeland Security (DHS), U.S. Citizenship and Immigration Services (USCIS)  requirement for Integrity, Credential, and Access Management-Unified Services (ICAM-US) information technology, systems engineering, and other professional services.","4778, 39835",541513 - Computer Facilities Management Services,,06/2017,(Deltek Estimate),09/25/2017,
160,Awarded,Tracked Opportunities,194460,OCEANS AND INTERNATIONAL ENVIRONMENTAL AND SCIENTIFIC AFFAIRS 2020 GLOBAL VIRTUAL ZOOHACKATHON (OES),OES,STATE,BUREAU OF OCEANS AND INTERNATIONAL ENVIRONMENTAL AND SCIENTIFIC AFFAIRS (CODE OES),19AQMM20N0061,14,"DEVPOST, INC. is currently fulfilling the U.S. Department of State, Bureau of Oceans and International Environmental and Scientific Affairs's (OES) requirement for a contractor to host and manage the Global Virtual Zoohackathon 2020.",14,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,07/2020,(Deltek Estimate),08/24/2020,
161,Awarded,Tracked Opportunities,178135,CONTENT DELIVERY NETWORK SERVICE (CDN),CDN,HOMELAND SECURITY,MANAGEMENT DIRECTORATE,70RTAC20Q00000119,"23,957","Akamai Technologies, Inc. is fulfilling the Department of Homeland Security (DHS), Office of the Chief Information Officer (OCIO) requirement for a Content Delivery Network (CDN) service for identified DHS websites via a globally deployed network of servers.",23967,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,07/2020,(Deltek Estimate),08/11/2020,
162,Awarded,Tracked Opportunities,166325,USTRANSCOM CLOUD DEVOPS,,DEFENSE,US TRANSPORTATION COMMAND,HTC71118QD069,"7,504","ECS Federal, LLC is fulfilling the Department of Defense (DoD), United States Transportation Command (USTRANSCOM) requirement for USTRANSCOM Cloud DevOps.",7504,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",,06/2018,(Deltek Estimate),07/20/2018,
163,Awarded,Tracked Opportunities,152097,INFORMATION TECHNOLOGY SUPPORT SERVICES AT THE US NAVAL FORCES SOUTHERN COMMAND US FOURTH FLEET MAYPORT NAVAL STATION JACKSONVILLE FL,,NAVY,NAVAL SUPPLY SYSTEMS COMMAND,N6883617Q0014,"2,028","Advanced Alliant Solutions Team, LLC is fulfilling the Department of the Navy, Naval Supply Systems Command, Fleet Logistics Center Jacksonville's requirement for Information Technology Support Services at the U.S. Naval Forces Southern Command U.S. FOURTH Fleet, Mayport Naval Station, Jacksonville, FL.",2141,541513 - Computer Facilities Management Services,,06/2017,(Deltek Estimate),06/21/2017,
164,Awarded,Tracked Opportunities,126874,MARINE CORPS RANGES AND TRAINING AREA MANAGEMENT SYSTEMS (MCRTAMS),MCRTAMS,MARINE CORPS,"MARINE CORPS COMBAT DEVELOPMENT COMMAND, COMBAT DEVELOPMENT & INTEGRATION",RFI15MCRTAMAS,"9,808","Segue Technologies, Inc is fulfilling the Department of the Navy, Marine Corps Combat Development Command's continuing requirement for technical support for the Range and Training Area Management Systems (RTAMS) Division.",9808,541513 - Computer Facilities Management Services,,10/2015,(Deltek Estimate),01/28/2016,
165,Awarded,Tracked Opportunities,91900,MISSION SERVICES FOR THE NETWORK ENTERPRISE CENTER AT FORT EUSTIS,,ARMY,ARMY CYBER COMMAND,W911S014R0NEC,"20,975","An 8(a) vendor is fulfilling the Army Chief Information Officer, Network Enterprise Technology Command/9th Signal Command, US Army Transportation Center's continuing requirement for Command, Control, Communications, Computers, and Information Management (C4IM) baseline, above baseline, and mission services.",20975,541513 - Computer Facilities Management Services,,07/2016,(Deltek Estimate),09/20/2016,
166,Awarded,Tracked Opportunities,189468,DEPOT MAINTENANCE OPERATIONS PLANNING SYSTEM SUPPORT (DMOPS),DMOPS,ARMY,CHIEF OF STAFF OF THE ARMY,W52P1J20RDMOPS,"1,488","Booz Allen Hamilton, Inc. is fulfilling he Department of the Army, Army Chief of Staff of the Army (ODCS), Deputy Chief of Staff G-4 (Pentagon) requirement for Depot Maintenance Operations Planning System (DMOPS) Support.",1625,541513 - Computer Facilities Management Services,,03/2020,(Deltek Estimate),03/28/2020,
